state,CDC_fips,CDC_jurisdiction,CDC_Total Cases,CDC_Total Death,CDC_CasesInLast7Days,CDC_RatePer100000,CDC_Total Tests Performed,CDC_Percent Positive Range,CDC_cumulative_positive_tests,positive,negative,pending,death,total,totalTestResults,posNeg,fips,hash,Diff_Deaths,Pct_Diff_Deaths,Diff_Cases-Positives,Pct_Diff_Cases-Positives
AK,2,Alaska,383,10,13,51.9,44788.0,0-5%,,383.0,30266.0,,10.0,30649.0,30649.0,30649.0,2.0,65fc900d3f18980bc2b5ce61bc063910f001f945,0.0,0.0,0.0,0.0
AL,1,Alabama,10665,433,2353,218.2,326258.0,11-20%,,10617.0,125755.0,,449.0,136372.0,136372.0,136372.0,1.0,fa40f8ecf2c6c2d24de9fe2e32e171ce45f9c457,-16.0,-3.695150115473441,48.0,0.450070323488045
AR,5,Arkansas,4164,95,695,138.2,78291.0,6-10%,,4164.0,69051.0,,95.0,73215.0,73215.0,73215.0,5.0,f147419663f32a125b49bd869ff47e8e6742cb30,0.0,0.0,0.0,0.0
AS,60,American Samoa,0,0,0,0.0,,,,0.0,105.0,,0.0,105.0,105.0,105.0,60.0,d55efc5d7e5e12f7f4e5262ee6282043f7d2f2e7,0.0,,0.0,
AZ,4,Arizona,11736,562,2817,163.6,192589.0,6-10%,,12176.0,115574.0,,594.0,127750.0,127750.0,127750.0,4.0,be079f12d747ed3e1f603133ebdd1131748b5572,-32.0,-5.6939501779359425,-440.0,-3.7491479209270624
CA,6,California,69382,2847,14445,175.4,861539.0,6-10%,,71141.0,994451.0,,2934.0,1065592.0,1065592.0,1065592.0,6.0,d02741729ab28ef93af87a37e2308fd075292a66,-87.0,-3.0558482613277134,-1759.0,-2.5352396875270244
CO,8,Colorado,20091,1006,3213,352.7,158078.0,11-20%,,20157.0,91093.0,,1009.0,111250.0,111250.0,111250.0,8.0,634ca84bc70d7edd003c2afc35e1d5e6956cf04d,-3.0,-0.2982107355864811,-66.0,-0.3285053008809915
CT,9,Connecticut,34333,3041,4360,961.0,140434.0,21-30%,,34855.0,108088.0,,3125.0,142943.0,142943.0,142943.0,9.0,cb2f89a519afa3ca40138fed30153091eafaab7e,-84.0,-2.762249260111805,-522.0,-1.5204031107098126
DC,11,District of Columbia,6485,336,1315,923.2,30821.0,21-30%,,6584.0,25074.0,,350.0,31658.0,31658.0,31658.0,11.0,0eb63fe6dca1a46d64cd8ede20cb5c3c38483df7,-14.0,-4.166666666666666,-99.0,-1.5265998457979955
DE,10,Delaware,6952,247,1664,718.8,31227.0,11-20%,,6952.0,27801.0,,247.0,34753.0,34753.0,34753.0,10.0,8f9d800ca5c57df79f7ab84b54bfe019f51a77e8,0.0,0.0,0.0,0.0
FL,12,Florida,41923,1779,5026,196.8,847533.0,6-10%,,42402.0,552361.0,1191.0,1898.0,595954.0,594763.0,594763.0,12.0,d1f9d8c7fa5121d8627fd897822e2028d3b109e5,-119.0,-6.689151208544127,-479.0,-1.1425709037998235
FSM,64,Federated States of Micronesia,0,0,0,0.0,,,,,,,,,,,,,,,,
GA,13,Georgia,34731,1464,5535,330.2,259437.0,11-20%,,35332.0,238572.0,,1505.0,273904.0,273904.0,273904.0,13.0,3a20deccac53ab8f783e24cb48922a288c05cb18,-41.0,-2.800546448087432,-601.0,-1.7304425441248452
GU,66,Guam,152,5,3,91.7,3441.0,0-5%,,152.0,4110.0,,5.0,4262.0,4262.0,4262.0,66.0,c5d8b9ad7a04cfc8125137d923c5e2eb482d2ddb,0.0,0.0,0.0,0.0
HI,15,Hawaii,583,17,25,41.0,40549.0,0-5%,,635.0,37730.0,,17.0,38365.0,38365.0,38365.0,15.0,3ccfd19e4d575ba1dedd85f0d6b60fa248d54825,0.0,0.0,-52.0,-8.919382504288166
IA,19,Iowa,12912,289,3209,409.1,90629.0,21-30%,,13289.0,72430.0,,306.0,85719.0,85719.0,85719.0,19.0,c8400dc6db3d926a84dee679758a76adc69f19bf,-17.0,-5.88235294117647,-377.0,-2.9197645600991327
ID,16,Idaho,2293,69,187,130.7,32650.0,0-5%,,2293.0,30835.0,,69.0,33128.0,33128.0,33128.0,16.0,540f29595c40497212b61f5841ce21ee23041dbc,0.0,0.0,0.0,0.0
IL,17,Illinois,83021,3601,19181,651.6,400724.0,21-30%,,84698.0,404661.0,,3792.0,489359.0,489359.0,489359.0,17.0,b29a2fc2a06f25ae25782cd775fae1b35ac5dfab,-191.0,-5.304082199389058,-1677.0,-2.0199708507486056
IN,18,Indiana,25127,1578,4620,375.5,237774.0,11-20%,,25473.0,128610.0,,1619.0,154083.0,154083.0,154083.0,18.0,293de6511f665990e53f10105b0fa42387962171,-41.0,-2.5982256020278833,-346.0,-1.3770048155370715
KS,20,Kansas,7116,158,1871,244.4,55659.0,11-20%,,7468.0,50160.0,,164.0,57628.0,57628.0,57628.0,20.0,cff8e274234174168b380f26127b58af4595f586,-6.0,-3.79746835443038,-352.0,-4.946599213041035
KY,21,Kentucky,6853,321,1608,153.4,77412.0,6-10%,,6853.0,103781.0,,321.0,110634.0,110634.0,110634.0,21.0,c49a5a065eea180c1044ec68868d4eb660713216,0.0,0.0,0.0,0.0
LA,22,Louisiana,32116,2347,2370,689.2,265094.0,11-20%,,32662.0,205242.0,,2381.0,237904.0,237904.0,237904.0,22.0,a5bb00bbfd391d5f13c0796dac9654bd02fd80cd,-34.0,-1.4486578610992757,-546.0,-1.7000871839581517
